CURRENT_DEPARTMENT,CURRENT_JOB_TITLE,PREVIOUS_DEPARTMENT,PREVIOUS_JOB_TITLE,COURSE,DATE,SKILL
Commercial Support Department,Customer Complaints Executive Manager,Commercial Support Department,Help Desk Manager,Budgeting and Scheduling Projects,2022-05-22T21:11:40.000Z,
Consumer Business,Dealership & Partnership Senior Specialist,Consumer Business,Dealership & Partnership Manager ET,Data Management and Visualization,2021-11-16T12:03:54.000Z,
Consumer Business,Distribution Operations Senior Professional,Consumer Business,Distribution Operations Professional,Teamwork Skills: Communicating Effectively in Groups,2023-09-25T11:19:13.000Z,
Engineering,IP Network Engineer Team Member,Engineering,IP Network Engineer,Introduction to Cybersecurity Essentials,2023-08-22T20:58:47.000Z,
Consumer Business,Business Simulation Senior Specialist,Consumer Business,Business Simulation Team Leader ,Introduction to Data Analytics,2022-07-21T14:27:06.000Z,
Consumer Business,Wehdat Consumer Sales Consultant Senior Team Member,Consumer Business,Wehdat Consumer Sales Consultant,Write Professional Emails in English,2022-11-20T13:28:23.000Z,
Commercial Support Department,Enterprise & Home Internet Complaints Engineer Senior Team Member,Commercial Support Department,Help Desk Enterprise Helper Team Member TM,Graphic Design,2022-06-25T22:39:20.000Z,
Engineering,PMO Professional,Engineering,Planning and Transmission Engineer,Negotiation  Fundamentals,2022-06-14T08:13:07.000Z,
"Governance, Risk, and Compliance",Internal Audit Senior Division Leader,,Internal Auditor Team Member,Excel Basics for Data Analysis,2021-10-26T19:06:34.000Z,
Commercial Support Department,Data Base Credit Control Senior Professional,Commercial Support Department,Data Base Credit Control Professional,Introduction to Data Analytics,2023-06-21T09:08:47.000Z,
,,Consumer Business,Business Simulation Team Member,Managing Data Analysis,2022-04-04T11:36:55.000Z,
Engineering,Tower Technician Senior Professional,Engineering,Tower Technician Professional ,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,2022-03-23T18:15:31.000Z,
Engineering,PMO Senior Team Member,Engineering,RAN Optimization Engineer,Finance for Non-Financial Professionals,2023-09-06T05:31:02.000Z,
Finance,Commercial Procurement Professional,Finance,Procurement Team Member,The Art of Negotiation,2023-07-12T06:19:43.000Z,
,,Technology and Digital Innovation,DevOps & Billing Systems Engineer,Cyber Threat Intelligence,2022-03-15T05:46:21.000Z,
Commercial Support Department,Customer Service Mobile Solutions Senior Division Leader,Commercial Support Department,Customer Service Center People Management Team Leader ,"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",2021-12-28T09:20:10.000Z,
Commercial Support Department,Enterprise & Home Internet Complaints Engineer Senior Team Member,Commercial Support Department,Help Desk Enterprise Helper Team Member TM,Effective Communication Capstone Project,2022-07-03T06:03:31.000Z,
Consumer Business,Outdoor VIP Account Team Member,Consumer Business,8th Circle Consumer Sales Consultant PT,Teamwork Skills: Communicating Effectively in Groups,2023-05-31T23:27:32.000Z,
Engineering,FTTH Activation Engineer Senior Team Member,,FTTH Activation Engineer PT,Collaborative Foresight: How to Game the Future,2022-03-30T09:21:01.000Z,
Engineering,Radio NOC Engineer Team Member,Engineering,Radio NOC Engineer,"Speak English Professionally: In Person, Online & On the Phone",2023-08-21T14:01:03.000Z,
"Governance, Risk, and Compliance",,,Enterprise Risk Management Intern,"Penetration Testing, Incident Response and Forensics",2021-08-17T15:39:53.000Z,
Engineering,RAN Optimization Engineer PT,,RAN Optimization Intern,Introduction to Data Analytics,2023-05-27T21:47:35.000Z,
"Governance, Risk, and Compliance",,,Enterprise Risk Management Intern,Research Report: Delivering Insights,2023-07-10T14:50:58.000Z,
Finance,,Finance,Accounts Payable Team Member,Introduction to Data Analytics for Accounting Professionals,2023-05-06T13:02:11.000Z,
Corporate Communications and Sustainability,CER Team Member,,CER Team Member /Zinc,Social Media and Social Content Strategy,2023-05-21T06:02:35.000Z,
Engineering,FTTH Activation Engineer Senior Team Member,,FTTH Activation Engineer PT,Simulation Skills: This is Your Brain on the Future,2022-04-22T23:35:37.000Z,
Enterprise Business,Enterprise Marketing Solutions Senior Team Member,Enterprise Business,Enterprise Marketing Solutions Team Member,Digital Transformation,2021-11-05T21:56:11.000Z,
Engineering,RAN Optimization Engineer Team Member,Engineering,RAN Optimization Engineer,Programming for Everybody (Getting Started with Python),2022-11-30T13:07:31.000Z,
Commercial Support Department,Legal Collection Manager,Commercial Support Department,Legal Collection Expert,Excel Fundamentals for Data Analysis,2022-01-19T13:27:55.000Z,
Consumer Business,VIP Accounts (Darak) Team Member,Consumer Business,Safeway 7th Circle Consumer Sales Consultant PT,Teamwork Skills: Communicating Effectively in Groups,2023-11-01T10:17:19.000Z,
Human Resources and Administration,,Human Resources and Administration,Learning & Development Team Member PT,Organizational Behavior: How to Manage People,2022-11-10T06:46:04.000Z,
Human Resources and Administration,Receiptionist Senior Team Member,Human Resources and Administration,Receiptionist Team Member,"Ethics, Culture, and Global Perspectives",2023-06-05T19:29:05.000Z,
Commercial Support Department,Customer Service AI & Chatbot Solutions Senior Team Member,Commercial Support Department,Operation Planning and Development Team Member,Demand Analytics,2022-11-15T01:48:59.000Z,
Enterprise Business,Enterprise Mobile & Broadband Marketing Senior Team Member,Enterprise Business,Enterprise Mobile & Broadband Marketing Team Member,Business Metrics for Data-Driven Companies,2022-11-22T09:22:21.000Z,
Engineering,RAN Maintenance Engineer Senior Team Member,Engineering,RAN Maintenance Engineer,"Capstone: Retrieving, Processing, and Visualizing Data with Python",2022-12-16T14:21:51.000Z,
Engineering,Network Operations Center Senior Division Leader,Engineering,Network Operations Center Expert,Essentials of Management and Strategic Planning,2023-10-05T05:24:08.000Z,
Enterprise Business,Sales Back Office - Corporate Professional,Enterprise Business,Sales Back Office - Corporate PR,Teamwork Skills: Communicating Effectively in Groups,2023-08-20T07:14:54.000Z,
Corporate Communications and Sustainability,Digital Media Specialist,Corporate Communications and Sustainability,CER Proffessional,ظپظ† ط±ظˆط§ظٹط© ط§ظ„ظ‚طµطµ | The Art of Storytelling,2023-10-22T12:05:47.000Z,
Consumer Business,Distribution Operations Senior Professional,Consumer Business,Distribution Operations Professional,Introduction to Data Analytics,2022-03-13T08:56:58.000Z,
Commercial Support Department,Legal Collection Senior Division Leader,Commercial Support Department,Legal Collection Team Leader,Introduction to Data Analytics,2023-07-02T08:52:45.000Z,
Commercial Support Department,Enterprise & Home Internet Complaints Engineer Senior Team Member,Commercial Support Department,Help Desk Enterprise Helper Team Member TM,"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",2022-06-23T10:41:09.000Z,
Engineering,Core Network Switching Division Leader,Engineering,Core Network Switching Engineer,Business English: Networking,2022-09-06T14:56:27.000Z,
Engineering,RAN IBS Senior Professional,Engineering,RAN IBS Team Member,Negotiation  Fundamentals,2022-10-26T17:19:29.000Z,
Finance,Cash Management Division Leader,,Cash Management  Team Member,Building Your Leadership Skills,2021-12-04T01:33:42.000Z,
Engineering,RAN Optimization Specialist,Engineering,RAN Optimization Technician ,Negotiation  Fundamentals,2021-08-24T04:49:28.000Z,
Consumer Business,Product Development Senior Specialist,Technology and Digital Innovation,Integration Team Member,Digital Transformation,2022-06-07T19:11:31.000Z,
Finance,E-Shop Logistics Senior Team Member,Commercial Support Department,Customer Service Advisor PT,Research Report: Delivering Insights,2023-05-16T12:58:10.000Z,
"Governance, Risk, and Compliance",,,Enterprise Risk Management Intern,Network Security & Database Vulnerabilities ,2021-08-14T12:31:44.000Z,
Commercial Support Department,Commercial Support & Quality Of Service Professional,Commercial Support Department,Commercial Support & Quality Of Service Team Member,Adaptability and Resiliency,2023-09-17T05:55:53.000Z,
Corporate Communications and Sustainability,CER Senior Manager,Corporate Communications and Sustainability,CER Manager-,English for Business and Entrepreneurship,2021-09-26T14:16:05.000Z,
Engineering,Engineering Operations Executive Manager,,Engineering Operations Manager,Data Visualization and Dashboards with Excel and Cognos,2021-09-18T21:12:48.000Z,
Commercial Support Department,Enterprise & Home Internet Complaints Engineer Team Member,Commercial Support Department,Help Desk Enterprise Helper Team Member,Customer Centricity as Competitive Advantage - Jagdish Sheth,2023-08-24T10:51:26.000Z,
Engineering,Business Excellence  Team Member,Engineering,RAN Maintenance Engineer,Using Databases with Python,2022-12-30T01:26:18.000Z,
Commercial Support Department,Collection Account's Team Member,Commercial Support Department,Collection Account's Manager,"Speak English Professionally: In Person, Online & On the Phone",2023-07-20T05:29:59.000Z,
Commercial Support Department,Data Base Credit Control Senior Professional,Commercial Support Department,Data Base Credit Control Professional,Data Visualization in Excel,2022-01-16T11:22:43.000Z,
Enterprise Business,Sales Back Office  Team Member,Enterprise Business,Sales Back Office TM,Introduction to Business Analytics: Communicating with Data ,2023-07-17T08:24:56.000Z,
Engineering,RAN Optimization Senior Division Leader,,RAN  Optimization Expert,Mediation and Conflict Resolution,2022-02-08T07:18:53.000Z,
Enterprise Business,Key Account's Sales Manager,Enterprise Business,Key Account's Sales Manager M,"Ready, Set, Future! Introduction to Futures Thinking",2022-07-25T05:35:08.000Z,
Engineering,RAN Optimization Engineer Professional,Engineering,RAN Optimization Engineer,Introduction to Data Analytics,2021-09-15T11:03:49.000Z,
,,Engineering,RAN Optimization Engineer,Programming for Everybody (Getting Started with Python),2023-01-08T11:39:51.000Z,
Finance,Financial Planning & Reporting Manager,,Financial Planning Team Leader  |--,Organizational Behavior: How to Manage People,2022-11-22T06:32:51.000Z,
Commercial Support Department,Mobile Solutions & Zain Wallets Complaints Manager,Commercial Support Department,Help Desk Team Leader ,Successful Presentation,2022-05-23T06:24:34.000Z,
Engineering,IP & Enterprise Tower Technician Senior Team Member,,RAN Optimization Tower Technician,Teamwork Skills: Communicating Effectively in Groups,2023-07-17T14:23:42.000Z,
Engineering,RAN Optimization Engineer Team Member,Engineering,RAN Optimization Engineer,Python Data Structures,2022-12-11T12:22:58.000Z,
Engineering,Backbone & Optical Network Senior Division Leader,Engineering,Backbone & Optical Network Team Leader,Excel Basics for Data Analysis,2022-06-10T08:38:27.000Z,
Zain Cash Engineering,Core & Data Systems Engineer Professional,Technology and Digital Innovation,DevOps & Charging System Engineer,Introduction to R Programming for Data Science,2022-05-15T18:58:50.000Z,
Finance,Revenue Assurance and Fraud Senior Manager,Finance,Revenue Assurance Team Leader,Organizational Behavior: How to Manage People,2022-06-07T17:21:29.000Z,
Commercial Support Department,Enterprise & Home Internet Complaints Engineer Professional,Commercial Support Department,Help Desk Enterprise Helper Team Member,Successful Presentation,2022-08-08T12:21:11.000Z,
Engineering,Engineering Operations Executive Manager,,Engineering Operations Manager,Introduction to Data Analytics,2021-09-07T07:58:26.000Z,
Consumer Business,International Gateway Senior Professional,Consumer Business,International Gateway Team Member,Data Visualization and Dashboards with Excel and Cognos,2022-06-02T08:27:34.000Z,
Commercial Support Department,Mobile Solutions & Zain Wallets Complaints Senior Professional,Commercial Support Department,Help Desk GSM Professional,Successful Presentation,2022-08-17T07:33:27.000Z,
Data Analytics & AI,Data Analytics and AI Executive Manager,,Data Architechture and Governance Team Leader,Fundamentals of Project Planning and Management,2022-04-28T12:06:51.000Z,
Commercial Support Department,Business Services Internal Collection Senior Professional,,Business Services Internal Collection  Team Member,Presentation skills: Speechwriting and Storytelling,2022-01-29T02:17:35.000Z,
Consumer Business,VIP Account's (Darak) Senior Team Member,Consumer Business,VIP Account's Manager (Darak) TM,Introduction to Data Analytics,2021-10-26T06:33:09.000Z,
,,Engineering,RAN Optimization Engineer,Python Data Structures,2023-01-08T12:04:06.000Z,
Engineering,RAN Maintenance Engineer Senior Professional,Engineering,RAN Maintenance Engineer,"Ready, Set, Future! Introduction to Futures Thinking",2022-04-18T02:20:36.000Z,
Enterprise Business,Handling & Distribution Analyst Senior Professional,Enterprise Business,Handling & Distribution Analyst Professional PR,Write Professional Emails in English,2022-08-19T09:57:41.000Z,
Commercial Support Department,Mobile Solutions & Zain Wallets Complaints Team Member,Commercial Support Department,Help Desk GSM Team Member,Introduction to Data Analytics,2023-07-05T08:35:05.000Z,
